   #t           x              T              E              p              E_d            a            T+E   
608.0         2.2885     3.6924e-02     9.7431e-03     7.4175e-05     4.1074e-04    -2.0537e-07     4.6667e-02
609.0         2.2946     3.6921e-02     9.7456e-03     7.1344e-05     4.0678e-04    -2.0339e-07     4.6667e-02
610.0         2.3006     3.6919e-02     9.7481e-03     6.8577e-05     4.0286e-04    -2.0143e-07     4.6667e-02
611.0         2.3067     3.6916e-02     9.7505e-03     6.5875e-05     3.9898e-04    -1.9949e-07     4.6667e-02
612.0         2.3128     3.6914e-02     9.7529e-03     6.3236e-05     3.9513e-04    -1.9756e-07     4.6667e-02
613.0         2.3189     3.6912e-02     9.7553e-03     6.0661e-05     3.9132e-04    -1.9566e-07     4.6667e-02
614.0         2.3249     3.6909e-02     9.7577e-03     5.8150e-05     3.8754e-04    -1.9377e-07     4.6667e-02
615.0         2.3310     3.6907e-02     9.7600e-03     5.5702e-05     3.8380e-04    -1.9190e-07     4.6667e-02
616.0         2.3371     3.6905e-02     9.7623e-03     5.3317e-05     3.8010e-04    -1.9005e-07     4.6667e-02
617.0         2.3432     3.6902e-02     9.7646e-03     5.0994e-05     3.7643e-04    -1.8822e-07     4.6667e-02
618.0         2.3492     3.6900e-02     9.7669e-03     4.8733e-05     3.7280e-04    -1.8640e-07     4.6667e-02
619.0         2.3553     3.6898e-02     9.7692e-03     4.6533e-05     3.6920e-04    -1.8460e-07     4.6667e-02
620.0         2.3614     3.6896e-02     9.7714e-03     4.4394e-05     3.6564e-04    -1.8282e-07     4.6667e-02
621.0         2.3675     3.6893e-02     9.7736e-03     4.2316e-05     3.6211e-04    -1.8106e-07     4.6667e-02
622.0         2.3735     3.6891e-02     9.7758e-03     4.0297e-05     3.5862e-04    -1.7931e-07     4.6667e-02
623.0         2.3796     3.6889e-02     9.7780e-03     3.8336e-05     3.5516e-04    -1.7758e-07     4.6667e-02
624.0         2.3857     3.6887e-02     9.7801e-03     3.6434e-05     3.5173e-04    -1.7586e-07     4.6667e-02
625.0         2.3918     3.6885e-02     9.7822e-03     3.4590e-05     3.4833e-04    -1.7417e-07     4.6667e-02
626.0         2.3978     3.6883e-02     9.7843e-03     3.2802e-05     3.4497e-04    -1.7249e-07     4.6667e-02
627.0         2.4039     3.6880e-02     9.7864e-03     3.1070e-05     3.4164e-04    -1.7082e-07     4.6667e-02
628.0         2.4100     3.6878e-02     9.7885e-03     2.9393e-05     3.3834e-04    -1.6917e-07     4.6667e-02
629.0         2.4160     3.6876e-02     9.7905e-03     2.7771e-05     3.3508e-04    -1.6754e-07     4.6667e-02
630.0         2.4221     3.6874e-02     9.7925e-03     2.6202e-05     3.3184e-04    -1.6592e-07     4.6667e-02
631.0         2.4282     3.6872e-02     9.7946e-03     2.4685e-05     3.2864e-04    -1.6432e-07     4.6667e-02
632.0         2.4343     3.6870e-02     9.7965e-03     2.3220e-05     3.2546e-04    -1.6273e-07     4.6667e-02
633.0         2.4403     3.6868e-02     9.7985e-03     2.1806e-05     3.2232e-04    -1.6116e-07     4.6667e-02
634.0         2.4464     3.6866e-02     9.8005e-03     2.0441e-05     3.1921e-04    -1.5960e-07     4.6667e-02
635.0         2.4525     3.6865e-02     9.8024e-03     1.9125e-05     3.1613e-04    -1.5806e-07     4.6667e-02
636.0         2.4585     3.6863e-02     9.8043e-03     1.7857e-05     3.1307e-04    -1.5654e-07     4.6667e-02
637.0         2.4646     3.6861e-02     9.8062e-03     1.6636e-05     3.1005e-04    -1.5503e-07     4.6667e-02
638.0         2.4707     3.6859e-02     9.8081e-03     1.5461e-05     3.0706e-04    -1.5353e-07     4.6667e-02
639.0         2.4768     3.6857e-02     9.8099e-03     1.4331e-05     3.0409e-04    -1.5205e-07     4.6667e-02
640.0         2.4828     3.6855e-02     9.8117e-03     1.3245e-05     3.0116e-04    -1.5058e-07     4.6667e-02
641.0         2.4889     3.6853e-02     9.8136e-03     1.2202e-05     2.9825e-04    -1.4912e-07     4.6667e-02
642.0         2.4950     3.6852e-02     9.8154e-03     1.1201e-05     2.9537e-04    -1.4768e-07     4.6667e-02
643.0         2.5010     3.6850e-02     9.8172e-03     1.0242e-05     2.9251e-04    -1.4626e-07     4.6667e-02
644.0         2.5071     3.6848e-02     9.8189e-03     9.3218e-06     2.8969e-04    -1.4484e-07     4.6667e-02
645.0         2.5132     3.6846e-02     9.8207e-03     8.4411e-06     2.8689e-04    -1.4345e-07     4.6667e-02
646.0         2.5193     3.6844e-02     9.8224e-03     7.5985e-06     2.8412e-04    -1.4206e-07     4.6667e-02
647.0         2.5253     3.6843e-02     9.8241e-03     6.7931e-06     2.8138e-04    -1.4069e-07     4.6667e-02
648.0         2.5314     3.6841e-02     9.8258e-03     6.0238e-06     2.7866e-04    -1.3933e-07     4.6667e-02
649.0         2.5375     3.6839e-02     9.8275e-03     5.2897e-06     2.7597e-04    -1.3798e-07     4.6667e-02
650.0         2.5435     3.6838e-02     9.8292e-03     4.5899e-06     2.7330e-04    -1.3665e-07     4.6667e-02
651.0         2.5496     3.6836e-02     9.8308e-03     3.9234e-06     2.7066e-04    -1.3533e-07     4.6667e-02
652.0         2.5557     3.6834e-02     9.8325e-03     3.2892e-06     2.6805e-04    -1.3402e-07     4.6667e-02
653.0         2.5617     3.6833e-02     9.8341e-03     2.6864e-06     2.6546e-04    -1.3273e-07     4.6667e-02
654.0         2.5678     3.6831e-02     9.8357e-03     2.1141e-06     2.6289e-04    -1.3145e-07     4.6667e-02
655.0         2.5739     3.6830e-02     9.8373e-03     1.5713e-06     2.6036e-04    -1.3018e-07     4.6667e-02
656.0         2.5799     3.6828e-02     9.8388e-03     1.0572e-06     2.5784e-04    -1.2892e-07     4.6667e-02
657.0         2.5860     3.6827e-02     9.8404e-03     5.7083e-07     2.5535e-04    -1.2768e-07     4.6667e-02
658.0         2.5921     3.6825e-02     9.8419e-03     1.1135e-07     2.5288e-04    -1.2644e-07     4.6667e-02
659.0         2.5982     3.6823e-02     9.8435e-03    -3.2213e-07     2.5044e-04    -1.2522e-07     4.6667e-02
660.0         2.6042     3.6822e-02     9.8450e-03    -7.3047e-07     2.4802e-04    -1.2401e-07     4.6667e-02
661.0         2.6103     3.6820e-02     9.8465e-03    -1.1145e-06     2.4563e-04    -1.2281e-07     4.6667e-02
662.0         2.6164     3.6819e-02     9.8480e-03    -1.4751e-06     2.4325e-04    -1.2163e-07     4.6667e-02
663.0         2.6224     3.6817e-02     9.8494e-03    -1.8131e-06     2.4091e-04    -1.2045e-07     4.6667e-02
664.0         2.6285     3.6816e-02     9.8509e-03    -2.1292e-06     2.3858e-04    -1.1929e-07     4.6667e-02
665.0         2.6346     3.6815e-02     9.8523e-03    -2.4242e-06     2.3627e-04    -1.1814e-07     4.6667e-02
666.0         2.6406     3.6813e-02     9.8537e-03    -2.6990e-06     2.3399e-04    -1.1700e-07     4.6667e-02
667.0         2.6467     3.6812e-02     9.8552e-03    -2.9543e-06     2.3173e-04    -1.1587e-07     4.6667e-02
668.0         2.6528     3.6810e-02     9.8566e-03    -3.1909e-06     2.2949e-04    -1.1475e-07     4.6667e-02
669.0         2.6588     3.6809e-02     9.8579e-03    -3.4094e-06     2.2728e-04    -1.1364e-07     4.6667e-02
670.0         2.6649     3.6808e-02     9.8593e-03    -3.6106e-06     2.2508e-04    -1.1254e-07     4.6667e-02
671.0         2.6710     3.6806e-02     9.8607e-03    -3.7951e-06     2.2291e-04    -1.1145e-07     4.6667e-02
672.0         2.6770     3.6805e-02     9.8620e-03    -3.9638e-06     2.2076e-04    -1.1038e-07     4.6667e-02
673.0         2.6831     3.6804e-02     9.8634e-03    -4.1172e-06     2.1862e-04    -1.0931e-07     4.6667e-02
674.0         2.6892     3.6802e-02     9.8647e-03    -4.2559e-06     2.1651e-04    -1.0826e-07     4.6667e-02
675.0         2.6952     3.6801e-02     9.8660e-03    -4.3807e-06     2.1442e-04    -1.0721e-07     4.6667e-02
676.0         2.7013     3.6800e-02     9.8673e-03    -4.4922e-06     2.1235e-04    -1.0618e-07     4.6667e-02
677.0         2.7074     3.6798e-02     9.8686e-03    -4.5909e-06     2.1030e-04    -1.0515e-07     4.6667e-02
678.0         2.7134     3.6797e-02     9.8698e-03    -4.6774e-06     2.0827e-04    -1.0413e-07     4.6667e-02
679.0         2.7195     3.6796e-02     9.8711e-03    -4.7523e-06     2.0626e-04    -1.0313e-07     4.6667e-02
680.0         2.7256     3.6795e-02     9.8723e-03    -4.8162e-06     2.0427e-04    -1.0213e-07     4.6667e-02
681.0         2.7316     3.6793e-02     9.8736e-03    -4.8697e-06     2.0229e-04    -1.0115e-07     4.6667e-02
682.0         2.7377     3.6792e-02     9.8748e-03    -4.9131e-06     2.0034e-04    -1.0017e-07     4.6667e-02
683.0         2.7438     3.6791e-02     9.8760e-03    -4.9471e-06     1.9841e-04    -9.9203e-08     4.6667e-02
684.0         2.7498     3.6790e-02     9.8772e-03    -4.9722e-06     1.9649e-04    -9.8245e-08     4.6667e-02
685.0         2.7559     3.6789e-02     9.8784e-03    -4.9887e-06     1.9459e-04    -9.7296e-08     4.6667e-02
686.0         2.7620     3.6787e-02     9.8796e-03    -4.9973e-06     1.9271e-04    -9.6356e-08     4.6667e-02
687.0         2.7680     3.6786e-02     9.8807e-03    -4.9983e-06     1.9085e-04    -9.5426e-08     4.6667e-02
688.0         2.7741     3.6785e-02     9.8819e-03    -4.9921e-06     1.8901e-04    -9.4504e-08     4.6667e-02
689.0         2.7801     3.6784e-02     9.8830e-03    -4.9793e-06     1.8718e-04    -9.3592e-08     4.6667e-02
690.0         2.7862     3.6783e-02     9.8841e-03    -4.9602e-06     1.8538e-04    -9.2688e-08     4.6667e-02
691.0         2.7923     3.6782e-02     9.8853e-03    -4.9351e-06     1.8359e-04    -9.1793e-08     4.6667e-02
692.0         2.7983     3.6781e-02     9.8864e-03    -4.9046e-06     1.8181e-04    -9.0907e-08     4.6667e-02
693.0         2.8044     3.6779e-02     9.8875e-03    -4.8689e-06     1.8006e-04    -9.0029e-08     4.6667e-02
694.0         2.8105     3.6778e-02     9.8885e-03    -4.8283e-06     1.7832e-04    -8.9160e-08     4.6667e-02
695.0         2.8165     3.6777e-02     9.8896e-03    -4.7833e-06     1.7660e-04    -8.8299e-08     4.6667e-02
696.0         2.8226     3.6776e-02     9.8907e-03    -4.7342e-06     1.7489e-04    -8.7446e-08     4.6667e-02
697.0         2.8287     3.6775e-02     9.8917e-03    -4.6812e-06     1.7320e-04    -8.6602e-08     4.6667e-02
698.0         2.8347     3.6774e-02     9.8928e-03    -4.6247e-06     1.7153e-04    -8.5766e-08     4.6667e-02
699.0         2.8408     3.6773e-02     9.8938e-03    -4.5650e-06     1.6988e-04    -8.4938e-08     4.6667e-02
700.0         2.8469     3.6772e-02     9.8949e-03    -4.5023e-06     1.6824e-04    -8.4118e-08     4.6667e-02
701.0         2.8529     3.6771e-02     9.8959e-03    -4.4369e-06     1.6661e-04    -8.3305e-08     4.6667e-02
702.0         2.8590     3.6770e-02     9.8969e-03    -4.3691e-06     1.6500e-04    -8.2501e-08     4.6667e-02
703.0         2.8650     3.6769e-02     9.8979e-03    -4.2991e-06     1.6341e-04    -8.1705e-08     4.6667e-02
704.0         2.8711     3.6768e-02     9.8989e-03    -4.2271e-06     1.6183e-04    -8.0916e-08     4.6667e-02
705.0         2.8772     3.6767e-02     9.8998e-03    -4.1533e-06     1.6027e-04    -8.0135e-08     4.6667e-02
706.0         2.8832     3.6766e-02     9.9008e-03    -4.0780e-06     1.5872e-04    -7.9361e-08     4.6667e-02
707.0         2.8893     3.6765e-02     9.9018e-03    -4.0014e-06     1.5719e-04    -7.8595e-08     4.6667e-02
708.0         2.8954     3.6764e-02     9.9027e-03    -3.9237e-06     1.5567e-04    -7.7836e-08     4.6667e-02
709.0         2.9014     3.6763e-02     9.9036e-03    -3.8450e-06     1.5417e-04    -7.7085e-08     4.6667e-02
710.0         2.9075     3.6762e-02     9.9046e-03    -3.7655e-06     1.5268e-04    -7.6340e-08     4.6667e-02
711.0         2.9136     3.6761e-02     9.9055e-03    -3.6854e-06     1.5121e-04    -7.5603e-08     4.6667e-02
712.0         2.9196     3.6760e-02     9.9064e-03    -3.6048e-06     1.4975e-04    -7.4874e-08     4.6667e-02
713.0         2.9257     3.6760e-02     9.9073e-03    -3.5239e-06     1.4830e-04    -7.4151e-08     4.6667e-02
714.0         2.9317     3.6759e-02     9.9082e-03    -3.4429e-06     1.4687e-04    -7.3435e-08     4.6667e-02
715.0         2.9378     3.6758e-02     9.9091e-03    -3.3618e-06     1.4545e-04    -7.2726e-08     4.6667e-02
716.0         2.9439     3.6757e-02     9.9100e-03    -3.2807e-06     1.4405e-04    -7.2024e-08     4.6667e-02
717.0         2.9499     3.6756e-02     9.9108e-03    -3.1999e-06     1.4266e-04    -7.1329e-08     4.6667e-02
718.0         2.9560     3.6755e-02     9.9117e-03    -3.1193e-06     1.4128e-04    -7.0640e-08     4.6667e-02
719.0         2.9621     3.6754e-02     9.9126e-03    -3.0392e-06     1.3992e-04    -6.9958e-08     4.6667e-02
720.0         2.9681     3.6754e-02     9.9134e-03    -2.9595e-06     1.3857e-04    -6.9283e-08     4.6667e-02
721.0         2.9742     3.6753e-02     9.9142e-03    -2.8805e-06     1.3723e-04    -6.8614e-08     4.6667e-02
722.0         2.9802     3.6752e-02     9.9151e-03    -2.8021e-06     1.3590e-04    -6.7952e-08     4.6667e-02
723.0         2.9863     3.6751e-02     9.9159e-03    -2.7244e-06     1.3459e-04    -6.7296e-08     4.6667e-02
724.0         2.9924     3.6750e-02     9.9167e-03    -2.6476e-06     1.3329e-04    -6.6646e-08     4.6667e-02
725.0         2.9984     3.6749e-02     9.9175e-03    -2.5716e-06     1.3201e-04    -6.6003e-08     4.6667e-02
726.0         3.0045     3.6749e-02     9.9183e-03    -2.4966e-06     1.3073e-04    -6.5366e-08     4.6667e-02
727.0         3.0106     3.6748e-02     9.9191e-03    -2.4226e-06     1.2947e-04    -6.4735e-08     4.6667e-02
728.0         3.0166     3.6747e-02     9.9199e-03    -2.3496e-06     1.2822e-04    -6.4110e-08     4.6667e-02
729.0         3.0227     3.6746e-02     9.9206e-03    -2.2778e-06     1.2698e-04    -6.3491e-08     4.6667e-02
730.0         3.0287     3.6745e-02     9.9214e-03    -2.2070e-06     1.2576e-04    -6.2879e-08     4.6667e-02
731.0         3.0348     3.6745e-02     9.9222e-03    -2.1375e-06     1.2454e-04    -6.2272e-08     4.6667e-02
732.0         3.0409     3.6744e-02     9.9229e-03    -2.0691e-06     1.2334e-04    -6.1671e-08     4.6667e-02
733.0         3.0469     3.6743e-02     9.9237e-03    -2.0020e-06     1.2215e-04    -6.1075e-08     4.6667e-02
734.0         3.0530     3.6743e-02     9.9244e-03    -1.9362e-06     1.2097e-04    -6.0486e-08     4.6667e-02
735.0         3.0591     3.6742e-02     9.9251e-03    -1.8716e-06     1.1980e-04    -5.9902e-08     4.6667e-02
736.0         3.0651     3.6741e-02     9.9258e-03    -1.8083e-06     1.1865e-04    -5.9324e-08     4.6667e-02
737.0         3.0712     3.6740e-02     9.9266e-03    -1.7463e-06     1.1750e-04    -5.8751e-08     4.6667e-02
738.0         3.0772     3.6740e-02     9.9273e-03    -1.6857e-06     1.1637e-04    -5.8184e-08     4.6667e-02
739.0         3.0833     3.6739e-02     9.9280e-03    -1.6264e-06     1.1525e-04    -5.7623e-08     4.6667e-02
740.0         3.0894     3.6738e-02     9.9287e-03    -1.5685e-06     1.1413e-04    -5.7067e-08     4.6667e-02
741.0         3.0954     3.6738e-02     9.9294e-03    -1.5119e-06     1.1303e-04    -5.6516e-08     4.6667e-02
742.0         3.1015     3.6737e-02     9.9300e-03    -1.4567e-06     1.1194e-04    -5.5971e-08     4.6667e-02
743.0         3.1075     3.6736e-02     9.9307e-03    -1.4028e-06     1.1086e-04    -5.5430e-08     4.6667e-02
744.0         3.1136     3.6736e-02     9.9314e-03    -1.3503e-06     1.0979e-04    -5.4896e-08     4.6667e-02
745.0         3.1197     3.6735e-02     9.9320e-03    -1.2991e-06     1.0873e-04    -5.4366e-08     4.6667e-02
746.0         3.1257     3.6734e-02     9.9327e-03    -1.2492e-06     1.0768e-04    -5.3841e-08     4.6667e-02
747.0         3.1318     3.6734e-02     9.9333e-03    -1.2007e-06     1.0664e-04    -5.3321e-08     4.6667e-02
748.0         3.1378     3.6733e-02     9.9340e-03    -1.1535e-06     1.0561e-04    -5.2807e-08     4.6667e-02
749.0         3.1439     3.6732e-02     9.9346e-03    -1.1077e-06     1.0459e-04    -5.2297e-08     4.6667e-02
750.0         3.1500     3.6732e-02     9.9353e-03    -1.0631e-06     1.0359e-04    -5.1793e-08     4.6667e-02
751.0         3.1560     3.6731e-02     9.9359e-03    -1.0198e-06     1.0259e-04    -5.1293e-08     4.6667e-02
752.0         3.1621     3.6730e-02     9.9365e-03    -9.7781e-07     1.0160e-04    -5.0798e-08     4.6667e-02
753.0         3.1681     3.6730e-02     9.9371e-03    -9.3705e-07     1.0062e-04    -5.0308e-08     4.6667e-02
754.0         3.1742     3.6729e-02     9.9377e-03    -8.9754e-07     9.9644e-05    -4.9822e-08     4.6667e-02
755.0         3.1803     3.6729e-02     9.9383e-03    -8.5925e-07     9.8683e-05    -4.9341e-08     4.6667e-02
756.0         3.1863     3.6728e-02     9.9389e-03    -8.2217e-07     9.7731e-05    -4.8865e-08     4.6667e-02
757.0         3.1924     3.6727e-02     9.9395e-03    -7.8627e-07     9.6787e-05    -4.8394e-08     4.6667e-02
758.0         3.1985     3.6727e-02     9.9401e-03    -7.5153e-07     9.5854e-05    -4.7927e-08     4.6667e-02
759.0         3.2045     3.6726e-02     9.9407e-03    -7.1794e-07     9.4929e-05    -4.7464e-08     4.6667e-02
760.0         3.2106     3.6726e-02     9.9412e-03    -6.8547e-07     9.4013e-05    -4.7006e-08     4.6667e-02
761.0         3.2166     3.6725e-02     9.9418e-03    -6.5410e-07     9.3105e-05    -4.6553e-08     4.6667e-02
762.0         3.2227     3.6725e-02     9.9424e-03    -6.2381e-07     9.2207e-05    -4.6104e-08     4.6667e-02
763.0         3.2288     3.6724e-02     9.9429e-03    -5.9458e-07     9.1317e-05    -4.5659e-08     4.6667e-02
764.0         3.2348     3.6723e-02     9.9435e-03    -5.6638e-07     9.0436e-05    -4.5218e-08     4.6667e-02
765.0         3.2409     3.6723e-02     9.9440e-03    -5.3919e-07     8.9564e-05    -4.4782e-08     4.6667e-02
766.0         3.2469     3.6722e-02     9.9446e-03    -5.1300e-07     8.8699e-05    -4.4350e-08     4.6667e-02
767.0         3.2530     3.6722e-02     9.9451e-03    -4.8777e-07     8.7843e-05    -4.3922e-08     4.6667e-02
768.0         3.2591     3.6721e-02     9.9456e-03    -4.6348e-07     8.6996e-05    -4.3498e-08     4.6667e-02
769.0         3.2651     3.6721e-02     9.9462e-03    -4.4010e-07     8.6156e-05    -4.3078e-08     4.6667e-02
770.0         3.2712     3.6720e-02     9.9467e-03    -4.1763e-07     8.5325e-05    -4.2663e-08     4.6667e-02
771.0         3.2772     3.6720e-02     9.9472e-03    -3.9603e-07     8.4502e-05    -4.2251e-08     4.6667e-02
772.0         3.2833     3.6719e-02     9.9477e-03    -3.7528e-07     8.3687e-05    -4.1843e-08     4.6667e-02
773.0         3.2894     3.6719e-02     9.9482e-03    -3.5535e-07     8.2879e-05    -4.1440e-08     4.6667e-02
774.0         3.2954     3.6718e-02     9.9487e-03    -3.3623e-07     8.2079e-05    -4.1040e-08     4.6667e-02
775.0         3.3015     3.6718e-02     9.9492e-03    -3.1789e-07     8.1288e-05    -4.0644e-08     4.6667e-02
776.0         3.3075     3.6717e-02     9.9497e-03    -3.0030e-07     8.0503e-05    -4.0252e-08     4.6667e-02
777.0         3.3136     3.6717e-02     9.9502e-03    -2.8346e-07     7.9727e-05    -3.9863e-08     4.6667e-02
778.0         3.3196     3.6716e-02     9.9507e-03    -2.6732e-07     7.8957e-05    -3.9479e-08     4.6667e-02
779.0         3.3257     3.6716e-02     9.9511e-03    -2.5188e-07     7.8196e-05    -3.9098e-08     4.6667e-02
780.0         3.3318     3.6715e-02     9.9516e-03    -2.3711e-07     7.7441e-05    -3.8721e-08     4.6667e-02
781.0         3.3378     3.6715e-02     9.9521e-03    -2.2299e-07     7.6694e-05    -3.8347e-08     4.6667e-02
782.0         3.3439     3.6714e-02     9.9525e-03    -2.0950e-07     7.5954e-05    -3.7977e-08     4.6667e-02
783.0         3.3499     3.6714e-02     9.9530e-03    -1.9662e-07     7.5221e-05    -3.7611e-08     4.6667e-02
784.0         3.3560     3.6713e-02     9.9534e-03    -1.8432e-07     7.4495e-05    -3.7248e-08     4.6667e-02
785.0         3.3621     3.6713e-02     9.9539e-03    -1.7260e-07     7.3777e-05    -3.6888e-08     4.6667e-02
786.0         3.3681     3.6713e-02     9.9543e-03    -1.6142e-07     7.3065e-05    -3.6532e-08     4.6667e-02
787.0         3.3742     3.6712e-02     9.9548e-03    -1.5077e-07     7.2360e-05    -3.6180e-08     4.6667e-02
788.0         3.3802     3.6712e-02     9.9552e-03    -1.4064e-07     7.1662e-05    -3.5831e-08     4.6667e-02
789.0         3.3863     3.6711e-02     9.9556e-03    -1.3099e-07     7.0971e-05    -3.5485e-08     4.6667e-02
790.0         3.3924     3.6711e-02     9.9561e-03    -1.2182e-07     7.0286e-05    -3.5143e-08     4.6667e-02
791.0         3.3984     3.6710e-02     9.9565e-03    -1.1311e-07     6.9608e-05    -3.4804e-08     4.6667e-02
792.0         3.4045     3.6710e-02     9.9569e-03    -1.0484e-07     6.8936e-05    -3.4468e-08     4.6667e-02
793.0         3.4105     3.6710e-02     9.9573e-03    -9.6992e-08     6.8271e-05    -3.4136e-08     4.6667e-02
794.0         3.4166     3.6709e-02     9.9577e-03    -8.9552e-08     6.7613e-05    -3.3806e-08     4.6667e-02
795.0         3.4227     3.6709e-02     9.9581e-03    -8.2502e-08     6.6960e-05    -3.3480e-08     4.6667e-02
796.0         3.4287     3.6708e-02     9.9586e-03    -7.5829e-08     6.6314e-05    -3.3157e-08     4.6667e-02
797.0         3.4348     3.6708e-02     9.9590e-03    -6.9516e-08     6.5675e-05    -3.2837e-08     4.6667e-02
798.0         3.4408     3.6708e-02     9.9593e-03    -6.3550e-08     6.5041e-05    -3.2521e-08     4.6667e-02
799.0         3.4469     3.6707e-02     9.9597e-03    -5.7916e-08     6.4414e-05    -3.2207e-08     4.6667e-02
800.0         3.4529     3.6707e-02     9.9601e-03    -5.2599e-08     6.3792e-05    -3.1896e-08     4.6667e-02
801.0         3.4590     3.6706e-02     9.9605e-03    -4.7588e-08     6.3177e-05    -3.1588e-08     4.6667e-02
802.0         3.4651     3.6706e-02     9.9609e-03    -4.2868e-08     6.2567e-05    -3.1284e-08     4.6667e-02
803.0         3.4711     3.6706e-02     9.9613e-03    -3.8427e-08     6.1964e-05    -3.0982e-08     4.6667e-02
804.0         3.4772     3.6705e-02     9.9616e-03    -3.4253e-08     6.1366e-05    -3.0683e-08     4.6667e-02
805.0         3.4832     3.6705e-02     9.9620e-03    -3.0334e-08     6.0774e-05    -3.0387e-08     4.6667e-02
806.0         3.4893     3.6705e-02     9.9624e-03    -2.6658e-08     6.0188e-05    -3.0094e-08     4.6667e-02
807.0         3.4954     3.6704e-02     9.9627e-03    -2.3214e-08     5.9607e-05    -2.9804e-08     4.6667e-02
808.0         3.5014     3.6704e-02     9.9631e-03    -1.9992e-08     5.9032e-05    -2.9516e-08     4.6667e-02
809.0         3.5075     3.6703e-02     9.9635e-03    -1.6981e-08     5.8463e-05    -2.9231e-08     4.6667e-02
810.0         3.5135     3.6703e-02     9.9638e-03    -1.4171e-08     5.7899e-05    -2.8949e-08     4.6667e-02
811.0         3.5196     3.6703e-02     9.9642e-03    -1.1553e-08     5.7340e-05    -2.8670e-08     4.6667e-02
812.0         3.5256     3.6702e-02     9.9645e-03    -9.1165e-09     5.6787e-05    -2.8394e-08     4.6667e-02
813.0         3.5317     3.6702e-02     9.9649e-03    -6.8533e-09     5.6239e-05    -2.8120e-08     4.6667e-02
814.0         3.5378     3.6702e-02     9.9652e-03    -4.7544e-09     5.5697e-05    -2.7848e-08     4.6667e-02
815.0         3.5438     3.6701e-02     9.9655e-03    -2.8116e-09     5.5160e-05    -2.7580e-08     4.6667e-02
816.0         3.5499     3.6701e-02     9.9659e-03    -1.0168e-09     5.4627e-05    -2.7314e-08     4.6667e-02
817.0         3.5559     3.6701e-02     9.9662e-03     6.3768e-10     5.4101e-05    -2.7050e-08     4.6667e-02
818.0         3.5620     3.6700e-02     9.9665e-03     2.1593e-09     5.3579e-05    -2.6789e-08     4.6667e-02
819.0         3.5681     3.6700e-02     9.9668e-03     3.5553e-09     5.3062e-05    -2.6531e-08     4.6667e-02
820.0         3.5741     3.6700e-02     9.9672e-03     4.8324e-09     5.2550e-05    -2.6275e-08     4.6667e-02
821.0         3.5802     3.6699e-02     9.9675e-03     5.9972e-09     5.2043e-05    -2.6022e-08     4.6667e-02
822.0         3.5862     3.6699e-02     9.9678e-03     7.0561e-09     5.1541e-05    -2.5771e-08     4.6667e-02
823.0         3.5923     3.6699e-02     9.9681e-03     8.0151e-09     5.1044e-05    -2.5522e-08     4.6667e-02
824.0         3.5983     3.6698e-02     9.9684e-03     8.8799e-09     5.0552e-05    -2.5276e-08     4.6667e-02
825.0         3.6044     3.6698e-02     9.9687e-03     9.6561e-09     5.0064e-05    -2.5032e-08     4.6667e-02
826.0         3.6105     3.6698e-02     9.9690e-03     1.0349e-08     4.9581e-05    -2.4791e-08     4.6667e-02
827.0         3.6165     3.6698e-02     9.9693e-03     1.0964e-08     4.9103e-05    -2.4551e-08     4.6667e-02
828.0         3.6226     3.6697e-02     9.9696e-03     1.1505e-08     4.8629e-05    -2.4315e-08     4.6667e-02
829.0         3.6286     3.6697e-02     9.9699e-03     1.1978e-08     4.8160e-05    -2.4080e-08     4.6667e-02
830.0         3.6347     3.6697e-02     9.9702e-03     1.2386e-08     4.7696e-05    -2.3848e-08     4.6667e-02
831.0         3.6407     3.6696e-02     9.9705e-03     1.2734e-08     4.7236e-05    -2.3618e-08     4.6667e-02
832.0         3.6468     3.6696e-02     9.9708e-03     1.3026e-08     4.6780e-05    -2.3390e-08     4.6667e-02
833.0         3.6529     3.6696e-02     9.9710e-03     1.3265e-08     4.6329e-05    -2.3164e-08     4.6667e-02
834.0         3.6589     3.6696e-02     9.9713e-03     1.3456e-08     4.5882e-05    -2.2941e-08     4.6667e-02
835.0         3.6650     3.6695e-02     9.9716e-03     1.3602e-08     4.5439e-05    -2.2720e-08     4.6667e-02
836.0         3.6710     3.6695e-02     9.9719e-03     1.3706e-08     4.5001e-05    -2.2500e-08     4.6667e-02
837.0         3.6771     3.6695e-02     9.9721e-03     1.3771e-08     4.4567e-05    -2.2283e-08     4.6667e-02
838.0         3.6832     3.6694e-02     9.9724e-03     1.3800e-08     4.4137e-05    -2.2069e-08     4.6667e-02
839.0         3.6892     3.6694e-02     9.9727e-03     1.3795e-08     4.3711e-05    -2.1856e-08     4.6667e-02
840.0         3.6953     3.6694e-02     9.9729e-03     1.3761e-08     4.3290e-05    -2.1645e-08     4.6667e-02
841.0         3.7013     3.6694e-02     9.9732e-03     1.3698e-08     4.2872e-05    -2.1436e-08     4.6667e-02
842.0         3.7074     3.6693e-02     9.9735e-03     1.3610e-08     4.2459e-05    -2.1229e-08     4.6667e-02
843.0         3.7134     3.6693e-02     9.9737e-03     1.3499e-08     4.2049e-05    -2.1025e-08     4.6667e-02
844.0         3.7195     3.6693e-02     9.9740e-03     1.3366e-08     4.1644e-05    -2.0822e-08     4.6667e-02
845.0         3.7256     3.6693e-02     9.9742e-03     1.3215e-08     4.1242e-05    -2.0621e-08     4.6667e-02
